path,wav,true,pred,corpus,modality,channel,emotion,intensity,statement,repetition,actor
dataset/features/3/1746397898847.npy,dataset/Audio_Speech_Actors_01-24/Actor_19/03-01-05-01-02-01-19.wav,3,5,RAVDESS,3,1,5,1,2,1,19
dataset/features/1/1746397900829.npy,dataset/Audio_Speech_Actors_01-24/Actor_10/03-01-03-01-01-02-10.wav,1,6,RAVDESS,3,1,3,1,1,2,10
dataset/features/1/1746397901876.npy,dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-03-02-01-02-05.wav,1,6,RAVDESS,3,1,3,2,1,2,5
dataset/features/1/1746397902654.npy,dataset/Audio_Speech_Actors_01-24/Actor_13/03-01-03-02-01-01-13.wav,1,4,RAVDESS,3,1,3,2,1,1,13
dataset/features/2/1746397904416.npy,dataset/Audio_Speech_Actors_01-24/Actor_15/03-01-04-02-02-02-15.wav,2,4,RAVDESS,3,1,4,2,2,2,15
dataset/features/2/1746397904917.npy,dataset/Audio_Speech_Actors_01-24/Actor_22/03-01-04-01-01-01-22.wav,2,0,RAVDESS,3,1,4,1,1,1,22
dataset/features/2/1746397905475.npy,dataset/Audio_Speech_Actors_01-24/Actor_23/03-01-04-02-02-01-23.wav,2,5,RAVDESS,3,1,4,2,2,1,23
dataset/features/2/1746397906495.npy,dataset/Audio_Speech_Actors_01-24/Actor_14/03-01-04-02-01-02-14.wav,2,5,RAVDESS,3,1,4,2,1,2,14
dataset/features/2/1746397907735.npy,dataset/Audio_Speech_Actors_01-24/Actor_13/03-01-04-02-01-01-13.wav,2,5,RAVDESS,3,1,4,2,1,1,13
dataset/features/2/1746397908525.npy,dataset/Audio_Speech_Actors_01-24/Actor_21/03-01-04-01-02-02-21.wav,2,0,RAVDESS,3,1,4,1,2,2,21
dataset/features/2/1746397908786.npy,dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-04-02-01-01-03.wav,2,6,RAVDESS,3,1,4,2,1,1,3
dataset/features/4/1746397909772.npy,dataset/Audio_Speech_Actors_01-24/Actor_20/03-01-06-02-02-01-20.wav,4,1,RAVDESS,3,1,6,2,2,1,20
dataset/features/4/1746397911053.npy,dataset/Audio_Speech_Actors_01-24/Actor_10/03-01-06-02-01-01-10.wav,4,1,RAVDESS,3,1,6,2,1,1,10
dataset/features/4/1746397911795.npy,dataset/Audio_Speech_Actors_01-24/Actor_17/03-01-06-02-02-01-17.wav,4,1,RAVDESS,3,1,6,2,2,1,17
dataset/features/4/1746397912042.npy,dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-06-02-01-02-05.wav,4,1,RAVDESS,3,1,6,2,1,2,5
dataset/features/4/1746397912282.npy,dataset/Audio_Speech_Actors_01-24/Actor_07/03-01-06-01-01-01-07.wav,4,2,RAVDESS,3,1,6,1,1,1,7
dataset/features/4/1746397912511.npy,dataset/Audio_Speech_Actors_01-24/Actor_11/03-01-06-02-02-02-11.wav,4,3,RAVDESS,3,1,6,2,2,2,11
dataset/features/4/1746397912744.npy,dataset/Audio_Speech_Actors_01-24/Actor_13/03-01-06-02-01-02-13.wav,4,1,RAVDESS,3,1,6,2,1,2,13
dataset/features/4/1746397913000.npy,dataset/Audio_Speech_Actors_01-24/Actor_12/03-01-06-02-01-01-12.wav,4,2,RAVDESS,3,1,6,2,1,1,12
dataset/features/4/1746397913257.npy,dataset/Audio_Speech_Actors_01-24/Actor_02/03-01-06-02-01-01-02.wav,4,2,RAVDESS,3,1,6,2,1,1,2
